name_of_centre,type_of_centre,owner,no_of_stalls,no_of_cooked_food_stalls,no_of_mkt_produce_stalls,postal_code,latitude,longitude,full_address,coordinates
Blk 74 Toa Payoh Lorong 4,MHC,HDB,90,10,80,310074,1.334480247,103.8520087,74 LORONG 4 TOA PAYOH TOA PAYOH VISTA MARKET SINGAPORE 310074,"(1.334480247, 103.8520087)"
Blk 75 Toa Payoh Lorong 5,HC,HDB,36,36,0,310075,1.33598913,103.8529929,75 LORONG 5 TOA PAYOH HAWKER CENTRE (BLK 75 TOA PAYOH LORONG 5) SINGAPORE 310075,"(1.33598913, 103.8529929)"
Blk 79 Redhill Lane,MK,HDB,122,0,122,150079,1.287783453,103.8183342,79 REDHILL LANE REDHILL MARKET SINGAPORE 150079,"(1.287783453, 103.8183342)"
Blk 79 Telok Blangah Drive,HC,HDB,40,40,0,100079,1.273364906,103.8076216,79 TELOK BLANGAH DRIVE UOB TELOK BLANGAH DRIVE SINGAPORE 100079,"(1.273364906, 103.8076216)"
Blk 80 Circuit Road,MHC,HDB,59,16,43,370080,1.327849306,103.8871216,80 CIRCUIT ROAD CIRCUIT ROAD MARKET AND FOOD CENTRE SINGAPORE 370080,"(1.327849306, 103.8871216)"
Blk 82 Telok Blangah Drive,MK,HDB,64,0,64,100082,1.273682273,103.8076518,82 TELOK BLANGAH DRIVE WEST COAST TOWN COUNCIL (TELOK BLANGAH SERVICE CENTRE) SINGAPORE 100082,"(1.273682273, 103.8076518)"
Blk 84 Marine Parade Central,MHC,HDB,198,55,143,440084,1.302285208,103.9063386,84 MARINE PARADE CENTRAL MARINE PARADE CENTRAL MARKET AND FOOD CENTRE SINGAPORE 440084,"(1.302285208, 103.9063386)"
Blk 85 Bedok North Street 4,MHC,HDB,214,72,142,460085,1.332031257,103.9387941,85 BEDOK NORTH STREET 4 UOB BEDOK NORTH STREET 4 SINGAPORE 460085,"(1.332031257, 103.9387941)"
Blk 85 Redhill Lane,HC,HDB,96,96,0,150085,1.287330837,103.818339,85 REDHILL LANE REDHILL FOOD CENTRE SINGAPORE 150085,"(1.287330837, 103.818339)"
Blk 89 Circuit Road,MHC,HDB,133,40,93,370089,1.323445344,103.8854493,89 CIRCUIT ROAD MARKET & HAWKER CENTRE (BLK 89 CIRCUIT ROAD) SINGAPORE 370089,"(1.323445344, 103.8854493)"
