address,postal_code,latitude,longitude,full_address,coordinates,nearest_MRT,MRT_distance,nearest_Mall,Mall_distance,nearest_Market,Market_distance,nearest_Hawker,Hawker_distance,CBD_distance
294 PUNGGOL CTRL,820294,1.402571817,103.9046355,294 PUNGGOL CENTRAL PUNGGOL GROVE SINGAPORE 820294,"(1.402571817, 103.9046355)",Cove,0.3614271994787646,Waterway   Point    Singapore ,0.5300129696244119,SHENG SIONG SUPERMARKET PTE LTD,0.21437493771933525,Kovan Market & Food Centre,5.256599578770772,13.137230093079744
172C EDGEDALE PLAINS,823172,1.395444577,103.9124654,172C EDGEDALE PLAINS SINGAPORE 823172,"(1.395444577, 103.9124654)",Coral Edge,0.1705461461588003,Punggol   Plaza    Singapore ,0.1588732736365269,NTUC Fairprice Co-operative Ltd,0.1469294175846217,Kovan Market & Food Centre,4.9949343376662005,13.105388128760596
103A EDGEFIELD PLAINS,821103,1.398255318,103.904754,103A EDGEFIELD PLAINS SINGAPORE 821103,"(1.398255318, 103.904754)",Cove,0.18311198219073332,Rivervale   Mall    Singapore ,0.672120622526226,PRIME SUPERMARKET LIMITED?,0.4971173304760648,Kovan Market & Food Centre,4.8245472581844,12.77188151909279
637B PUNGGOL DR,822637,1.39949597,103.9149545,637B PUNGGOL DRIVE THE MEADOWS SINGAPORE 822637,"(1.39949597, 103.9149545)",Kadaloor,0.1764616311974303,Oasis   Terraces    Singapore ,0.39602980670917837,ANG MO SUPERMARKET PTE LTD,0.12233928796237291,Kovan Market & Food Centre,5.522188522213883,13.62335915503157
18 DOVER CRES,130018,1.308083436,103.7830572,18 DOVER CRESCENT DOVER VILLE SINGAPORE 130018,"(1.308083436, 103.7830572)",Dover,0.6189538457955063,The   Star   Vista    Singapore ,0.6172391716388549,SHENG SIONG SUPERMARKET PTE LTD,0.3326545355043064,Blk 20 Ghim Moh Road,0.6564503778603306,5.394253370868121
493 ADMIRALTY LINK,750493,1.456546013,103.8167639,493 ADMIRALTY LINK SEMBAWANG GREEN SINGAPORE 750493,"(1.456546013, 103.8167639)",Sembawang,0.9020522475799989,Sun   Plaza    Singapore ,0.9776113777409887,FORTUNE SUPERMARKET PTE. LTD.,0.259658154299509,Chong Pang City Wet Market & Food Centre,3.046789146016031,16.40830933888986
314D ANCHORVALE LINK,544314,1.391426582,103.8892534,314D ANCHORVALE LINK ANCHORVALE GARDENS SINGAPORE 544314,"(1.391426582, 103.8892534)",Tongkang,0.43577236250451107,Compass   One    Singapore ,0.6408952660734099,U STARS SUPERMARKET PTE. LTD.,0.6030354957411984,Kovan Market & Food Centre,3.612320455392915,11.120897541298053
318B ANCHORVALE LINK,542318,1.393828522,103.8889159,318B ANCHORVALE LINK SINGAPORE 542318,"(1.393828522, 103.8889159)",Farmway,0.3734982924346003,Compass   One    Singapore ,0.7011429852217008,U STARS SUPERMARKET PTE. LTD.,0.33795886781538015,Kovan Market & Food Centre,3.874950572027298,11.318947262964526
689D WOODLANDS DR 75,734689,1.444285016,103.8087419,689D WOODLANDS DRIVE 75 SINGAPORE 734689,"(1.444285016, 103.8087419)",Sembawang,1.3687418077780305,Admiralty   Place    Singapore ,0.9138225920418785,VENKATESH DEEPA ( VIDEKS GROCERS ),0.31611833202361017,Chong Pang City Wet Market & Food Centre,2.5877759836353427,15.17573774094946
688C WOODLANDS DR 75,733688,1.443281519,103.8072938,688C WOODLANDS DRIVE 75 MY FIRST SKOOL SINGAPORE 733688,"(1.443281519, 103.8072938)",Sembawang,1.5611404368135262,Admiralty   Place    Singapore ,0.7196287962024704,VENKATESH DEEPA ( VIDEKS GROCERS ),0.13488792462053464,Chong Pang City Wet Market & Food Centre,2.66900223193631,15.093663281671589
386 BT BATOK WEST AVE 5,650386,1.363939422,103.752556,386 BUKIT BATOK WEST AVENUE 5 SINGAPORE 650386,"(1.363939422, 103.752556)",Bukit Gombak,0.5498810477453381,HillV2    Singapore ,1.3140582677247847,OH BENG GUAN,0.07336808240733034,Blk 254 Jurong East Street 24,2.7981021874574643,10.651770213001301
625 SENJA RD,670625,1.385634061,103.7603611,625 SENJA ROAD SENJA GRAND SINGAPORE 670625,"(1.385634061, 103.7603611)",Senja,0.37779587070280385,Junction 10    Singapore ,0.6063180205408317,NTUC Fairprice Co-operative Ltd,0.06189423460965171,Blk 254 Jurong East Street 24,5.309872617508753,11.57054767731128
691A CHOA CHU KANG CRES,681691,1.401157798,103.7514717,691A CHOA CHU KANG CRESCENT SINGAPORE 681691,"(1.401157798, 103.7514717)",Yew Tee,0.6073331739879994,Yew   Tee   Square    Singapore ,0.5978556151499763,NTUC Fairprice Co-operative Ltd,0.7061717658621651,Marsiling Lane Food Centre,5.507116657369682,13.513485823922753
271A JURONG WEST ST 24,641271,1.350881446,103.7040623,271A JURONG WEST STREET 24 SINGAPORE 641271,"(1.350881446, 103.7040623)",Boon Lay,1.3772952032351549,Gek   Poh   Shopping   Centre    Singapore ,0.7420394525461456,SHENG SIONG SUPERMARKET PTE LTD,0.24395544928050505,Boon Lay Place Market and Food Village,1.1795477252371647,14.893133328519049
271D JURONG WEST ST 24,644271,1.350035071,103.7049079,271D JURONG WEST STREET 24 SINGAPORE 644271,"(1.350035071, 103.7049079)",Boon Lay,1.273316483299035,Gek   Poh   Shopping   Centre    Singapore ,0.8097336504898708,SHENG SIONG SUPERMARKET PTE LTD,0.2164269064879858,Boon Lay Place Market and Food Village,1.051461776980914,14.774887935328238
642D PUNGGOL DR,824642,1.39879751,103.9158457,642D PUNGGOL DRIVE THE MEADOWS SINGAPORE 824642,"(1.39879751, 103.9158457)",Kadaloor,0.12049532659031176,Oasis   Terraces    Singapore ,0.5137940112426846,ANG MO SUPERMARKET PTE LTD,0.07736066867040609,Kovan Market & Food Centre,5.518062402874142,13.634450695136866
173A PUNGGOL FIELD,821173,1.397013086,103.9093541,173A PUNGGOL FIELD SINGAPORE 821173,"(1.397013086, 103.9093541)",Meridian,0.052271807182770295,Punggol   Plaza    Singapore ,0.5242858537320212,PRIME SUPERMARKET LIMITED?,0.07882208493604581,Kovan Market & Food Centre,4.9476231752939475,13.000163484284897
