month,level_1,level_2,value
1975-03,All Items,Communication,133.733
1975-03,All Items,Recreation & Culture,56.025
1975-03,All Items,Education,17.249
1975-03,All Items,Miscellaneous Goods & Services,29.609
1975-04,All Items,Food,42.607
1975-04,All Items,Food Excl Food Serving Services,na
1975-04,All Items,Food Serving Services,na
1975-04,All Items,Clothing & Footwear,75.817
1975-04,All Items,Housing & Utilities,37.463
1975-04,All Items,Household Durables & Services,58.294
1975-04,All Items,Health Care,25.662
1975-04,All Items,Transport,30.342
1975-04,All Items,Communication,133.733
1975-04,All Items,Recreation & Culture,56.31
1975-04,All Items,Education,17.249
1975-04,All Items,Miscellaneous Goods & Services,29.705
1975-05,All Items,Food,42.632
1975-05,All Items,Food Excl Food Serving Services,na
1975-05,All Items,Food Serving Services,na
1975-05,All Items,Clothing & Footwear,75.463
1975-05,All Items,Housing & Utilities,38.002
1975-05,All Items,Household Durables & Services,58.121
1975-05,All Items,Health Care,25.689
1975-05,All Items,Transport,30.369
1975-05,All Items,Communication,133.733
1975-05,All Items,Recreation & Culture,56.31
1975-05,All Items,Education,17.249
1975-05,All Items,Miscellaneous Goods & Services,30.715
1975-06,All Items,Food,42.768
1975-06,All Items,Food Excl Food Serving Services,na
1975-06,All Items,Food Serving Services,na
1975-06,All Items,Clothing & Footwear,75.302
1975-06,All Items,Housing & Utilities,38.006
1975-06,All Items,Household Durables & Services,58.23
1975-06,All Items,Health Care,25.704
1975-06,All Items,Transport,30.369
1975-06,All Items,Communication,133.733
1975-06,All Items,Recreation & Culture,56.31
1975-06,All Items,Education,17.283
1975-06,All Items,Miscellaneous Goods & Services,31.223
1975-07,All Items,Food,42.739
1975-07,All Items,Food Excl Food Serving Services,na
1975-07,All Items,Food Serving Services,na
1975-07,All Items,Clothing & Footwear,75.231
1975-07,All Items,Housing & Utilities,38.891
1975-07,All Items,Household Durables & Services,58.025
1975-07,All Items,Health Care,26.071
1975-07,All Items,Transport,30.407
1975-07,All Items,Communication,133.733
1975-07,All Items,Recreation & Culture,56.441
1975-07,All Items,Education,17.283
1975-07,All Items,Miscellaneous Goods & Services,31.242
1975-08,All Items,Food,43.078
1975-08,All Items,Food Excl Food Serving Services,na
1975-08,All Items,Food Serving Services,na
1975-08,All Items,Clothing & Footwear,74.864
1975-08,All Items,Housing & Utilities,38.891
1975-08,All Items,Household Durables & Services,57.966
1975-08,All Items,Health Care,26.459
1975-08,All Items,Transport,30.407
1975-08,All Items,Communication,133.733
1975-08,All Items,Recreation & Culture,56.441
1975-08,All Items,Education,17.283
1975-08,All Items,Miscellaneous Goods & Services,31.198
1975-09,All Items,Food,42.653
1975-09,All Items,Food Excl Food Serving Services,na
1975-09,All Items,Food Serving Services,na
1975-09,All Items,Clothing & Footwear,75.045
1975-09,All Items,Housing & Utilities,40.667
1975-09,All Items,Household Durables & Services,57.972
1975-09,All Items,Health Care,26.459
1975-09,All Items,Transport,30.438
1975-09,All Items,Communication,133.733
1975-09,All Items,Recreation & Culture,56.441
1975-09,All Items,Education,17.283
1975-09,All Items,Miscellaneous Goods & Services,31.191
1975-10,All Items,Food,41.842
1975-10,All Items,Food Excl Food Serving Services,na
1975-10,All Items,Food Serving Services,na
1975-10,All Items,Clothing & Footwear,75.519
1975-10,All Items,Housing & Utilities,40.722
1975-10,All Items,Household Durables & Services,57.899
1975-10,All Items,Health Care,26.459
1975-10,All Items,Transport,30.438
1975-10,All Items,Communication,133.733
1975-10,All Items,Recreation & Culture,56.441
1975-10,All Items,Education,17.283
1975-10,All Items,Miscellaneous Goods & Services,31.183
1975-11,All Items,Food,41.891
1975-11,All Items,Food Excl Food Serving Services,na
1975-11,All Items,Food Serving Services,na
1975-11,All Items,Clothing & Footwear,76.062
1975-11,All Items,Housing & Utilities,41.053
1975-11,All Items,Household Durables & Services,57.841
1975-11,All Items,Health Care,26.459
1975-11,All Items,Transport,30.456
1975-11,All Items,Communication,133.733
1975-11,All Items,Recreation & Culture,56.441
1975-11,All Items,Education,17.283
1975-11,All Items,Miscellaneous Goods & Services,31.176
1975-12,All Items,Food,42.198
1975-12,All Items,Food Excl Food Serving Services,na
1975-12,All Items,Food Serving Services,na
1975-12,All Items,Clothing & Footwear,76.524
1975-12,All Items,Housing & Utilities,41.057
1975-12,All Items,Household Durables & Services,57.763
1975-12,All Items,Health Care,26.459
1975-12,All Items,Transport,30.456
1975-12,All Items,Communication,133.733
1975-12,All Items,Recreation & Culture,56.441
1975-12,All Items,Education,17.283
1975-12,All Items,Miscellaneous Goods & Services,31.171
1976-01,All Items,Food,41.871
1976-01,All Items,Food Excl Food Serving Services,na
1976-01,All Items,Food Serving Services,na
1976-01,All Items,Clothing & Footwear,76.62
1976-01,All Items,Housing & Utilities,41.103
1976-01,All Items,Household Durables & Services,57.781
1976-01,All Items,Health Care,26.466
1976-01,All Items,Transport,31.484
1976-01,All Items,Communication,133.733
1976-01,All Items,Recreation & Culture,56.174
1976-01,All Items,Education,17.283
1976-01,All Items,Miscellaneous Goods & Services,31.363
1976-02,All Items,Food,41.857
1976-02,All Items,Food Excl Food Serving Services,na
1976-02,All Items,Food Serving Services,na
1976-02,All Items,Clothing & Footwear,75.923
1976-02,All Items,Housing & Utilities,41.14
1976-02,All Items,Household Durables & Services,57.688
1976-02,All Items,Health Care,26.459
1976-02,All Items,Transport,31.665
1976-02,All Items,Communication,133.733
1976-02,All Items,Recreation & Culture,56.441
1976-02,All Items,Education,17.283
1976-02,All Items,Miscellaneous Goods & Services,31.192
1976-03,All Items,Food,40.73
1976-03,All Items,Food Excl Food Serving Services,na
1976-03,All Items,Food Serving Services,na
1976-03,All Items,Clothing & Footwear,76.12
1976-03,All Items,Housing & Utilities,41.603
1976-03,All Items,Household Durables & Services,57.548
1976-03,All Items,Health Care,26.456
1976-03,All Items,Transport,31.665
1976-03,All Items,Communication,133.733
1976-03,All Items,Recreation & Culture,56.441
1976-03,All Items,Education,17.283
1976-03,All Items,Miscellaneous Goods & Services,31.206
1976-04,All Items,Food,39.98
1976-04,All Items,Food Excl Food Serving Services,na
1976-04,All Items,Food Serving Services,na
1976-04,All Items,Clothing & Footwear,75.94
1976-04,All Items,Housing & Utilities,41.6
1976-04,All Items,Household Durables & Services,57.61
1976-04,All Items,Health Care,26.456
1976-04,All Items,Transport,31.665
1976-04,All Items,Communication,133.733
1976-04,All Items,Recreation & Culture,56.441
1976-04,All Items,Education,17.283
1976-04,All Items,Miscellaneous Goods & Services,31.219
1976-05,All Items,Food,40.255
1976-05,All Items,Food Excl Food Serving Services,na
1976-05,All Items,Food Serving Services,na
1976-05,All Items,Clothing & Footwear,76.038
1976-05,All Items,Housing & Utilities,41.603
1976-05,All Items,Household Durables & Services,58.002
1976-05,All Items,Health Care,26.665
1976-05,All Items,Transport,31.665
1976-05,All Items,Communication,133.733
1976-05,All Items,Recreation & Culture,56.441
1976-05,All Items,Education,17.283
1976-05,All Items,Miscellaneous Goods & Services,31.219
1976-06,All Items,Food,39.842
1976-06,All Items,Food Excl Food Serving Services,na
1976-06,All Items,Food Serving Services,na
1976-06,All Items,Clothing & Footwear,76.281
1976-06,All Items,Housing & Utilities,41.605
1976-06,All Items,Household Durables & Services,57.445
1976-06,All Items,Health Care,26.665
1976-06,All Items,Transport,31.665
1976-06,All Items,Communication,133.733
1976-06,All Items,Recreation & Culture,56.441
1976-06,All Items,Education,17.514
1976-06,All Items,Miscellaneous Goods & Services,31.244
1976-07,All Items,Food,39.784
1976-07,All Items,Food Excl Food Serving Services,na
1976-07,All Items,Food Serving Services,na
1976-07,All Items,Clothing & Footwear,76.355
1976-07,All Items,Housing & Utilities,41.614
1976-07,All Items,Household Durables & Services,57.002
1976-07,All Items,Health Care,26.672
1976-07,All Items,Transport,31.681
1976-07,All Items,Communication,133.733
1976-07,All Items,Recreation & Culture,56.441
1976-07,All Items,Education,17.514
1976-07,All Items,Miscellaneous Goods & Services,31.319
1976-08,All Items,Food,39.678
1976-08,All Items,Food Excl Food Serving Services,na
1976-08,All Items,Food Serving Services,na
1976-08,All Items,Clothing & Footwear,76.279
1976-08,All Items,Housing & Utilities,41.618
1976-08,All Items,Household Durables & Services,57.075
1976-08,All Items,Health Care,26.672
1976-08,All Items,Transport,31.681
1976-08,All Items,Communication,133.733
1976-08,All Items,Recreation & Culture,56.441
1976-08,All Items,Education,17.514
1976-08,All Items,Miscellaneous Goods & Services,31.338
1976-09,All Items,Food,39.523
1976-09,All Items,Food Excl Food Serving Services,na
1976-09,All Items,Food Serving Services,na
1976-09,All Items,Clothing & Footwear,76.279
1976-09,All Items,Housing & Utilities,41.618
1976-09,All Items,Household Durables & Services,57.036
1976-09,All Items,Health Care,26.743
1976-09,All Items,Transport,31.687
1976-09,All Items,Communication,133.733
1976-09,All Items,Recreation & Culture,56.407
1976-09,All Items,Education,17.514
1976-09,All Items,Miscellaneous Goods & Services,31.411
1976-10,All Items,Food,39.441
1976-10,All Items,Food Excl Food Serving Services,na
1976-10,All Items,Food Serving Services,na
1976-10,All Items,Clothing & Footwear,76.314
1976-10,All Items,Housing & Utilities,41.627
1976-10,All Items,Household Durables & Services,57.036
1976-10,All Items,Health Care,26.753
1976-10,All Items,Transport,31.694
1976-10,All Items,Communication,133.733
1976-10,All Items,Recreation & Culture,56.407
1976-10,All Items,Education,17.514
1976-10,All Items,Miscellaneous Goods & Services,31.402
1976-11,All Items,Food,39.882
1976-11,All Items,Food Excl Food Serving Services,na
1976-11,All Items,Food Serving Services,na
1976-11,All Items,Clothing & Footwear,76.392
1976-11,All Items,Housing & Utilities,41.683
1976-11,All Items,Household Durables & Services,56.947
1976-11,All Items,Health Care,26.743
1976-11,All Items,Transport,31.694
1976-11,All Items,Communication,133.733
1976-11,All Items,Recreation & Culture,56.407
1976-11,All Items,Education,17.514
1976-11,All Items,Miscellaneous Goods & Services,31.402
1976-12,All Items,Food,40.457
1976-12,All Items,Food Excl Food Serving Services,na
1976-12,All Items,Food Serving Services,na
1976-12,All Items,Clothing & Footwear,76.917
1976-12,All Items,Housing & Utilities,41.683
1976-12,All Items,Household Durables & Services,56.94
1976-12,All Items,Health Care,26.744
1976-12,All Items,Transport,31.694
1976-12,All Items,Communication,133.733
1976-12,All Items,Recreation & Culture,56.407
1976-12,All Items,Education,17.514
1976-12,All Items,Miscellaneous Goods & Services,31.444
1977-01,All Items,Food,41.387
1977-01,All Items,Food Excl Food Serving Services,na
1977-01,All Items,Food Serving Services,na
1977-01,All Items,Clothing & Footwear,77.415
1977-01,All Items,Housing & Utilities,41.699
1977-01,All Items,Household Durables & Services,57.56
1977-01,All Items,Health Care,26.998
1977-01,All Items,Transport,31.729
1977-01,All Items,Communication,133.733
1977-01,All Items,Recreation & Culture,56.441
1977-01,All Items,Education,17.514
1977-01,All Items,Miscellaneous Goods & Services,31.547
1977-02,All Items,Food,41.849
1977-02,All Items,Food Excl Food Serving Services,na
1977-02,All Items,Food Serving Services,na
1977-02,All Items,Clothing & Footwear,77.508
1977-02,All Items,Housing & Utilities,41.792
1977-02,All Items,Household Durables & Services,57.714
1977-02,All Items,Health Care,27.002
1977-02,All Items,Transport,31.729
1977-02,All Items,Communication,133.733
1977-02,All Items,Recreation & Culture,56.441
1977-02,All Items,Education,17.514
1977-02,All Items,Miscellaneous Goods & Services,31.733
1977-03,All Items,Food,41.319
1977-03,All Items,Food Excl Food Serving Services,na
1977-03,All Items,Food Serving Services,na
1977-03,All Items,Clothing & Footwear,77.109
1977-03,All Items,Housing & Utilities,41.882
1977-03,All Items,Household Durables & Services,58.012
1977-03,All Items,Health Care,27.005
1977-03,All Items,Transport,31.729
1977-03,All Items,Communication,133.733
1977-03,All Items,Recreation & Culture,56.441
1977-03,All Items,Education,17.514
1977-03,All Items,Miscellaneous Goods & Services,31.619
1977-04,All Items,Food,40.634
1977-04,All Items,Food Excl Food Serving Services,na
1977-04,All Items,Food Serving Services,na
1977-04,All Items,Clothing & Footwear,77.206
1977-04,All Items,Housing & Utilities,41.884
1977-04,All Items,Household Durables & Services,58.019
1977-04,All Items,Health Care,27.005
1977-04,All Items,Transport,31.754
1977-04,All Items,Communication,133.733
1977-04,All Items,Recreation & Culture,56.441
1977-04,All Items,Education,17.514
1977-04,All Items,Miscellaneous Goods & Services,31.697
1977-05,All Items,Food,41.204
1977-05,All Items,Food Excl Food Serving Services,na
1977-05,All Items,Food Serving Services,na
1977-05,All Items,Clothing & Footwear,77.115
1977-05,All Items,Housing & Utilities,42.089
1977-05,All Items,Household Durables & Services,58.244
1977-05,All Items,Health Care,27.005
1977-05,All Items,Transport,31.869
1977-05,All Items,Communication,133.733
1977-05,All Items,Recreation & Culture,55.815
1977-05,All Items,Education,17.514
1977-05,All Items,Miscellaneous Goods & Services,31.692
1977-06,All Items,Food,41.437
1977-06,All Items,Food Excl Food Serving Services,na
1977-06,All Items,Food Serving Services,na
1977-06,All Items,Clothing & Footwear,77.066
1977-06,All Items,Housing & Utilities,42.096
1977-06,All Items,Household Durables & Services,58.239
1977-06,All Items,Health Care,27.005
1977-06,All Items,Transport,31.876
1977-06,All Items,Communication,133.733
1977-06,All Items,Recreation & Culture,55.815
1977-06,All Items,Education,17.92
1977-06,All Items,Miscellaneous Goods & Services,31.75
1977-07,All Items,Food,42.159
1977-07,All Items,Food Excl Food Serving Services,na
1977-07,All Items,Food Serving Services,na
1977-07,All Items,Clothing & Footwear,77.238
1977-07,All Items,Housing & Utilities,42.099
1977-07,All Items,Household Durables & Services,58.813
1977-07,All Items,Health Care,27.005
1977-07,All Items,Transport,31.916
1977-07,All Items,Communication,133.733
1977-07,All Items,Recreation & Culture,56.441
1977-07,All Items,Education,17.92
1977-07,All Items,Miscellaneous Goods & Services,31.777
1977-08,All Items,Food,43.339
1977-08,All Items,Food Excl Food Serving Services,na
1977-08,All Items,Food Serving Services,na
1977-08,All Items,Clothing & Footwear,77.456
1977-08,All Items,Housing & Utilities,42.099
1977-08,All Items,Household Durables & Services,58.798
1977-08,All Items,Health Care,27.005
1977-08,All Items,Transport,31.916
1977-08,All Items,Communication,133.733
1977-08,All Items,Recreation & Culture,56.441
1977-08,All Items,Education,17.92
1977-08,All Items,Miscellaneous Goods & Services,31.825
1977-09,All Items,Food,43.845
1977-09,All Items,Food Excl Food Serving Services,na
1977-09,All Items,Food Serving Services,na
1977-09,All Items,Clothing & Footwear,77.552
1977-09,All Items,Housing & Utilities,42.111
1977-09,All Items,Household Durables & Services,58.936
1977-09,All Items,Health Care,27.118
1977-09,All Items,Transport,31.916
1977-09,All Items,Communication,133.733
1977-09,All Items,Recreation & Culture,56.441
1977-09,All Items,Education,17.92
1977-09,All Items,Miscellaneous Goods & Services,31.825
1977-10,All Items,Food,42.546
1977-10,All Items,Food Excl Food Serving Services,na
1977-10,All Items,Food Serving Services,na
1977-10,All Items,Clothing & Footwear,77.552
1977-10,All Items,Housing & Utilities,42.111
1977-10,All Items,Household Durables & Services,59.136
1977-10,All Items,Health Care,27.118
1977-10,All Items,Transport,31.927
1977-10,All Items,Communication,133.733
1977-10,All Items,Recreation & Culture,56.692
1977-10,All Items,Education,17.92
1977-10,All Items,Miscellaneous Goods & Services,32.538
1977-11,All Items,Food,43.092
1977-11,All Items,Food Excl Food Serving Services,na
1977-11,All Items,Food Serving Services,na
1977-11,All Items,Clothing & Footwear,77.744
1977-11,All Items,Housing & Utilities,42.117
1977-11,All Items,Household Durables & Services,59.169
1977-11,All Items,Health Care,27.163
1977-11,All Items,Transport,31.927
1977-11,All Items,Communication,133.733
1977-11,All Items,Recreation & Culture,56.692
1977-11,All Items,Education,17.92
1977-11,All Items,Miscellaneous Goods & Services,33.198
1977-12,All Items,Food,44.725
1977-12,All Items,Food Excl Food Serving Services,na
1977-12,All Items,Food Serving Services,na
1977-12,All Items,Clothing & Footwear,78.05
1977-12,All Items,Housing & Utilities,42.124
1977-12,All Items,Household Durables & Services,59.196
1977-12,All Items,Health Care,27.177
1977-12,All Items,Transport,31.927
1977-12,All Items,Communication,133.733
1977-12,All Items,Recreation & Culture,56.692
1977-12,All Items,Education,17.92
1977-12,All Items,Miscellaneous Goods & Services,33.187
1978-01,All Items,Food,44.487
1978-01,All Items,Food Excl Food Serving Services,na
1978-01,All Items,Food Serving Services,na
1978-01,All Items,Clothing & Footwear,78.8
1978-01,All Items,Housing & Utilities,42.142
1978-01,All Items,Household Durables & Services,59.093
1978-01,All Items,Health Care,27.701
1978-01,All Items,Transport,31.978
1978-01,All Items,Communication,133.699
1978-01,All Items,Recreation & Culture,56.645
1978-01,All Items,Education,18.462
1978-01,All Items,Miscellaneous Goods & Services,33.085
1978-02,All Items,Food,45.429
1978-02,All Items,Food Excl Food Serving Services,na
1978-02,All Items,Food Serving Services,na
1978-02,All Items,Clothing & Footwear,78.582
1978-02,All Items,Housing & Utilities,42.142
1978-02,All Items,Household Durables & Services,59.252
1978-02,All Items,Health Care,27.708
1978-02,All Items,Transport,31.977
1978-02,All Items,Communication,133.699
1978-02,All Items,Recreation & Culture,56.552
1978-02,All Items,Education,18.462
1978-02,All Items,Miscellaneous Goods & Services,33.099
1978-03,All Items,Food,43.55
1978-03,All Items,Food Excl Food Serving Services,na
1978-03,All Items,Food Serving Services,na
1978-03,All Items,Clothing & Footwear,78.444
1978-03,All Items,Housing & Utilities,42.142
1978-03,All Items,Household Durables & Services,59.32
1978-03,All Items,Health Care,27.855
1978-03,All Items,Transport,32.062
1978-03,All Items,Communication,133.699
1978-03,All Items,Recreation & Culture,56.542
1978-03,All Items,Education,18.462
1978-03,All Items,Miscellaneous Goods & Services,33.051
1978-04,All Items,Food,43.594
1978-04,All Items,Food Excl Food Serving Services,na
1978-04,All Items,Food Serving Services,na
1978-04,All Items,Clothing & Footwear,78.023
1978-04,All Items,Housing & Utilities,41.907
1978-04,All Items,Household Durables & Services,59.32
1978-04,All Items,Health Care,28.123
1978-04,All Items,Transport,32.258
1978-04,All Items,Communication,139.199
1978-04,All Items,Recreation & Culture,61.636
1978-04,All Items,Education,18.462
1978-04,All Items,Miscellaneous Goods & Services,33.061
1978-05,All Items,Food,44.054
1978-05,All Items,Food Excl Food Serving Services,na
1978-05,All Items,Food Serving Services,na
1978-05,All Items,Clothing & Footwear,78.097
1978-05,All Items,Housing & Utilities,41.904
1978-05,All Items,Household Durables & Services,59.32
1978-05,All Items,Health Care,28.176
1978-05,All Items,Transport,32.273
1978-05,All Items,Communication,139.199
1978-05,All Items,Recreation & Culture,61.636
1978-05,All Items,Education,18.462
1978-05,All Items,Miscellaneous Goods & Services,33.077
1978-06,All Items,Food,44.266
1978-06,All Items,Food Excl Food Serving Services,na
1978-06,All Items,Food Serving Services,na
1978-06,All Items,Clothing & Footwear,78.482
1978-06,All Items,Housing & Utilities,41.904
1978-06,All Items,Household Durables & Services,59.381
1978-06,All Items,Health Care,28.19
1978-06,All Items,Transport,32.299
1978-06,All Items,Communication,139.199
1978-06,All Items,Recreation & Culture,61.779
1978-06,All Items,Education,18.462
1978-06,All Items,Miscellaneous Goods & Services,33.18
1978-07,All Items,Food,44.665
1978-07,All Items,Food Excl Food Serving Services,na
1978-07,All Items,Food Serving Services,na
1978-07,All Items,Clothing & Footwear,79.031
1978-07,All Items,Housing & Utilities,41.904
1978-07,All Items,Household Durables & Services,59.746
1978-07,All Items,Health Care,28.379
1978-07,All Items,Transport,34.899
1978-07,All Items,Communication,139.199
1978-07,All Items,Recreation & Culture,61.743
1978-07,All Items,Education,18.462
1978-07,All Items,Miscellaneous Goods & Services,33.182
1978-08,All Items,Food,45.238
1978-08,All Items,Food Excl Food Serving Services,na
1978-08,All Items,Food Serving Services,na
1978-08,All Items,Clothing & Footwear,79.344
1978-08,All Items,Housing & Utilities,41.905
1978-08,All Items,Household Durables & Services,59.84
1978-08,All Items,Health Care,28.42
1978-08,All Items,Transport,34.926
1978-08,All Items,Communication,139.199
1978-08,All Items,Recreation & Culture,61.814
1978-08,All Items,Education,18.462
1978-08,All Items,Miscellaneous Goods & Services,33.184
1978-09,All Items,Food,45.442
1978-09,All Items,Food Excl Food Serving Services,na
1978-09,All Items,Food Serving Services,na
1978-09,All Items,Clothing & Footwear,79.411
1978-09,All Items,Housing & Utilities,41.919
1978-09,All Items,Household Durables & Services,59.915
1978-09,All Items,Health Care,28.429
1978-09,All Items,Transport,34.942
1978-09,All Items,Communication,139.199
1978-09,All Items,Recreation & Culture,61.928
1978-09,All Items,Education,18.462
1978-09,All Items,Miscellaneous Goods & Services,33.194
1978-10,All Items,Food,44.797
1978-10,All Items,Food Excl Food Serving Services,na
1978-10,All Items,Food Serving Services,na
1978-10,All Items,Clothing & Footwear,79.144
1978-10,All Items,Housing & Utilities,41.92
1978-10,All Items,Household Durables & Services,59.73
1978-10,All Items,Health Care,28.445
1978-10,All Items,Transport,34.954
1978-10,All Items,Communication,139.199
1978-10,All Items,Recreation & Culture,61.928
1978-10,All Items,Education,19.348
1978-10,All Items,Miscellaneous Goods & Services,33.196
1978-11,All Items,Food,45.553
1978-11,All Items,Food Excl Food Serving Services,na
1978-11,All Items,Food Serving Services,na
1978-11,All Items,Clothing & Footwear,79.116
1978-11,All Items,Housing & Utilities,42.047
1978-11,All Items,Household Durables & Services,59.953
1978-11,All Items,Health Care,28.485
1978-11,All Items,Transport,34.954
1978-11,All Items,Communication,139.199
1978-11,All Items,Recreation & Culture,61.973
1978-11,All Items,Education,19.357
1978-11,All Items,Miscellaneous Goods & Services,33.196
1978-12,All Items,Food,45.282
1978-12,All Items,Food Excl Food Serving Services,na
1978-12,All Items,Food Serving Services,na
1978-12,All Items,Clothing & Footwear,80.155
1978-12,All Items,Housing & Utilities,42.137
1978-12,All Items,Household Durables & Services,60.079
1978-12,All Items,Health Care,28.534
1978-12,All Items,Transport,34.954
1978-12,All Items,Communication,139.199
1978-12,All Items,Recreation & Culture,62.043
1978-12,All Items,Education,19.357
1978-12,All Items,Miscellaneous Goods & Services,33.198
1979-01,All Items,Food,45.06
1979-01,All Items,Food Excl Food Serving Services,na
1979-01,All Items,Food Serving Services,na
1979-01,All Items,Clothing & Footwear,80.964
1979-01,All Items,Housing & Utilities,42.145
1979-01,All Items,Household Durables & Services,60.202
1979-01,All Items,Health Care,28.606
1979-01,All Items,Transport,34.968
1979-01,All Items,Communication,139.199
1979-01,All Items,Recreation & Culture,62.906
1979-01,All Items,Education,19.357
1979-01,All Items,Miscellaneous Goods & Services,33.444
1979-02,All Items,Food,44.589
1979-02,All Items,Food Excl Food Serving Services,na
1979-02,All Items,Food Serving Services,na
1979-02,All Items,Clothing & Footwear,80.819
1979-02,All Items,Housing & Utilities,42.145
1979-02,All Items,Household Durables & Services,60.436
1979-02,All Items,Health Care,28.662
1979-02,All Items,Transport,34.971
1979-02,All Items,Communication,139.199
1979-02,All Items,Recreation & Culture,62.852
1979-02,All Items,Education,19.357
1979-02,All Items,Miscellaneous Goods & Services,33.462
1979-03,All Items,Food,43.725
1979-03,All Items,Food Excl Food Serving Services,na
1979-03,All Items,Food Serving Services,na
1979-03,All Items,Clothing & Footwear,81.081
1979-03,All Items,Housing & Utilities,42.145
1979-03,All Items,Household Durables & Services,61.206
1979-03,All Items,Health Care,28.68
1979-03,All Items,Transport,34.975
1979-03,All Items,Communication,139.199
1979-03,All Items,Recreation & Culture,63.097
1979-03,All Items,Education,19.357
1979-03,All Items,Miscellaneous Goods & Services,33.342
1979-04,All Items,Food,44.391
1979-04,All Items,Food Excl Food Serving Services,na
1979-04,All Items,Food Serving Services,na
1979-04,All Items,Clothing & Footwear,80.275
1979-04,All Items,Housing & Utilities,42.15
1979-04,All Items,Household Durables & Services,61.465
1979-04,All Items,Health Care,28.698
1979-04,All Items,Transport,34.978
1979-04,All Items,Communication,139.199
1979-04,All Items,Recreation & Culture,63.18
1979-04,All Items,Education,19.357
1979-04,All Items,Miscellaneous Goods & Services,33.378
1979-05,All Items,Food,44.789
1979-05,All Items,Food Excl Food Serving Services,na
1979-05,All Items,Food Serving Services,na
1979-05,All Items,Clothing & Footwear,80.635
1979-05,All Items,Housing & Utilities,43.115
1979-05,All Items,Household Durables & Services,62.027
1979-05,All Items,Health Care,28.724
1979-05,All Items,Transport,34.978
1979-05,All Items,Communication,139.199
1979-05,All Items,Recreation & Culture,63.201
1979-05,All Items,Education,19.357
1979-05,All Items,Miscellaneous Goods & Services,33.397
1979-06,All Items,Food,45.081
1979-06,All Items,Food Excl Food Serving Services,na
1979-06,All Items,Food Serving Services,na
1979-06,All Items,Clothing & Footwear,80.858
1979-06,All Items,Housing & Utilities,43.153
1979-06,All Items,Household Durables & Services,62.304
1979-06,All Items,Health Care,28.782
1979-06,All Items,Transport,34.982
1979-06,All Items,Communication,139.199
1979-06,All Items,Recreation & Culture,63.22
1979-06,All Items,Education,19.357
1979-06,All Items,Miscellaneous Goods & Services,33.44
1979-07,All Items,Food,45.703
1979-07,All Items,Food Excl Food Serving Services,na
1979-07,All Items,Food Serving Services,na
1979-07,All Items,Clothing & Footwear,82.35
1979-07,All Items,Housing & Utilities,44.067
1979-07,All Items,Household Durables & Services,62.489
1979-07,All Items,Health Care,29.138
1979-07,All Items,Transport,35.285
1979-07,All Items,Communication,139.199
1979-07,All Items,Recreation & Culture,63.359
1979-07,All Items,Education,19.571
1979-07,All Items,Miscellaneous Goods & Services,33.455
1979-08,All Items,Food,46.718
1979-08,All Items,Food Excl Food Serving Services,na
1979-08,All Items,Food Serving Services,na
1979-08,All Items,Clothing & Footwear,82.6
1979-08,All Items,Housing & Utilities,45.812
1979-08,All Items,Household Durables & Services,62.619
1979-08,All Items,Health Care,29.53
1979-08,All Items,Transport,35.937
1979-08,All Items,Communication,139.199
1979-08,All Items,Recreation & Culture,63.455
1979-08,All Items,Education,19.612
1979-08,All Items,Miscellaneous Goods & Services,33.685
1979-09,All Items,Food,46.736
1979-09,All Items,Food Excl Food Serving Services,na
1979-09,All Items,Food Serving Services,na
1979-09,All Items,Clothing & Footwear,82.898
1979-09,All Items,Housing & Utilities,46.111
1979-09,All Items,Household Durables & Services,63.079
1979-09,All Items,Health Care,29.983
1979-09,All Items,Transport,40.335
1979-09,All Items,Communication,139.199
1979-09,All Items,Recreation & Culture,63.666
1979-09,All Items,Education,19.612
1979-09,All Items,Miscellaneous Goods & Services,33.807
1979-10,All Items,Food,46.671
1979-10,All Items,Food Excl Food Serving Services,na
1979-10,All Items,Food Serving Services,na
1979-10,All Items,Clothing & Footwear,82.602
1979-10,All Items,Housing & Utilities,46.138
1979-10,All Items,Household Durables & Services,63.305
1979-10,All Items,Health Care,30.013
1979-10,All Items,Transport,40.339
1979-10,All Items,Communication,139.199
1979-10,All Items,Recreation & Culture,64.195
1979-10,All Items,Education,19.65
1979-10,All Items,Miscellaneous Goods & Services,33.842
1979-11,All Items,Food,47.668
1979-11,All Items,Food Excl Food Serving Services,na
1979-11,All Items,Food Serving Services,na
1979-11,All Items,Clothing & Footwear,82.172
1979-11,All Items,Housing & Utilities,46.308
1979-11,All Items,Household Durables & Services,63.378
1979-11,All Items,Health Care,30.045
1979-11,All Items,Transport,40.357
1979-11,All Items,Communication,139.199
1979-11,All Items,Recreation & Culture,64.184
1979-11,All Items,Education,19.741
1979-11,All Items,Miscellaneous Goods & Services,33.904
1979-12,All Items,Food,48.653
1979-12,All Items,Food Excl Food Serving Services,na
1979-12,All Items,Food Serving Services,na
1979-12,All Items,Clothing & Footwear,82.796
1979-12,All Items,Housing & Utilities,46.322
1979-12,All Items,Household Durables & Services,63.692
1979-12,All Items,Health Care,30.084
1979-12,All Items,Transport,40.358
1979-12,All Items,Communication,139.199
1979-12,All Items,Recreation & Culture,64.195
1979-12,All Items,Education,19.741
1979-12,All Items,Miscellaneous Goods & Services,33.921
1980-01,All Items,Food,47.846
1980-01,All Items,Food Excl Food Serving Services,na
