,address,postal_code,latitude,longitude,full_address,coordinates,nearest_MRT,MRT_distance,nearest_Mall,Mall_distance,nearest_Market,Market_distance,nearest_Hawker,Hawker_distance,CBD_distance
2726,429 JURONG WEST AVE 1,640429,1.351925128,103.7244968,429 JURONG WEST AVENUE 1 EDUGARDEN DISCOVERY PTE. LTD. SINGAPORE 640429,"(1.3519251280000002, 103.7244968)",Lakeside,0.945967765,Boon   Lay   Shopping   Centre    Singapore ,1.472292022,COLD STORAGE SINGAPORE (1983) PTE LTD,0.206648794,Blk 505 Jurong West Street 52,0.718779564,16.02150387
2727,33 JLN BAHAGIA,320033,1.326612098,103.8584362,33 JALAN BAHAGIA WHAMPOA GARDENS SINGAPORE 320033,"(1.326612098, 103.85843620000001)",Boon Keng,0.808594434,The   Poiz    Singapore ,1.201776724,HAO MART PTE. LTD.,0.224123786,Whampoa Hawker Centre,0.545371047,4.796567701
2728,45 JLN BAHAGIA,320045,1.327535232,103.8572876,45 JALAN BAHAGIA WHAMPOA GARDENS SINGAPORE 320045,"(1.327535232, 103.85728759999999)",Boon Keng,0.959637328,HDB   Hub   Singapore ,1.23423607,HAO MART PTE. LTD.,0.317745693,Whampoa Hawker Centre,0.553432843,4.879797004
2729,53 JLN MA'MOR,320053,1.328278539,103.8560974,53 JALAN MA'MOR SINGAPORE 320053,"(1.328278539, 103.85609740000001)",Toa Payoh,1.066586857,HDB   Hub   Singapore ,1.079801086,HAO MART PTE. LTD.,0.436818973,Whampoa Hawker Centre,0.586789642,4.946675993
2730,104 TOWNER RD,327827,1.320289307,103.8585102,104 TOWNER ROAD TOWNERVILLE SINGAPORE 327827,"(1.3202893070000001, 103.85851020000001)",Boon Keng,0.350288205,City   Square   Mall    Singapore ,1.032098935,SHENG SIONG SUPERMARKET PTE LTD,0.176832911,Blk 90 Whampoa Drive,0.477101002,4.105396652
2731,684 RACE COURSE RD,210684,1.314307076,103.8566595,684 RACE COURSE ROAD SINGAPORE 210684,"(1.314307076, 103.85665949999999)",Farrer Park,0.268809566,City   Square   Mall    Singapore ,0.345934997,AMISTA INTERNATIONAL PTE. LTD.,0,Pek Kio Market & Food Centre,0.744367498,3.41436214
2732,44 STIRLING RD,141044,1.297791663,103.8026579,44 STIRLING ROAD SINGAPORE 141044,"(1.297791663, 103.8026579)",Queenstown,0.485611361,Anchorpoint    Singapore ,1.053401825,SHENG SIONG SUPERMARKET PTE LTD,0.66322379,Blk 159 Mei Chin Road,0.507277957,5.653203838
2733,311 SERANGOON AVE 2,550311,1.353762881,103.8663265,311 SERANGOON AVENUE 2 SINGAPORE 550311,"(1.353762881, 103.8663265)",Lorong Chuan,0.291242877,myVillage Singapore,1.275402445,Teo Bobby,0.509965196,Serangoon Garden Market,1.045602392,7.925872971
2734,323 SERANGOON AVE 3,550323,1.351168574,103.8694085,323 SERANGOON AVENUE 3 SINGAPORE 550323,"(1.3511685740000001, 103.86940849999999)",Serangoon,0.491785495,Upper   Serangoon   Shopping   Centre    Singapore ,1.07825902,NTUC Fairprice Co-operative Ltd,0.302547057,Serangoon Garden Market,1.365744274,7.724425966
2735,228 SERANGOON AVE 4,550228,1.356364015,103.8702599,228 SERANGOON AVENUE 4 BOUNDARY VILLE SINGAPORE 550228,"(1.356364015, 103.87025990000001)",Lorong Chuan,0.797763671,Upper   Serangoon   Shopping   Centre    Singapore ,1.005012805,Teo Bobby,0.306869609,Serangoon Garden Market,0.850826806,8.307294577
2736,329 SERANGOON AVE 3,550329,1.349626334,103.8680638,329 SERANGOON AVENUE 3 RADIANCE STUDENT CARE CENTRE SINGAPORE 550329,"(1.349626334, 103.86806379999999)",Lorong Chuan,0.405073594,Upper   Serangoon   Shopping   Centre    Singapore ,1.271080365,NTUC Fairprice Co-operative Ltd,0.471795538,Serangoon Garden Market,1.511774004,7.521039868
2737,321 SERANGOON AVE 2,550321,1.351205269,103.8677695,321 SERANGOON AVENUE 2 SINGAPORE 550321,"(1.351205269, 103.8677695)",Lorong Chuan,0.314727395,Upper   Serangoon   Shopping   Centre    Singapore ,1.255123888,Teo Bobby,0.444997268,Serangoon Garden Market,1.333939858,7.68374204
