,id,flat_type,listing_url,img_url,listing_name,floor_area_sqm,lease_commence_date,remaining_lease,resale_price,latitude,longitude,postal_district,mrt_nearest,mrt_distance,mall_nearest,mall_distance,orchard_distance,hawker_distance,market_distance,recommend_score
10,23472530,2 ROOM,https://www.propertyguru.com.sg/listing/hdb-for-sale-180a-boon-lay-drive-23472530,https://sg1-cdn.pgimgs.com/listing/23472530/UPHO.128458394.R400X300/180A-Boon-Lay-Drive-Boon-Lay-Jurong-Tuas-Singapore.jpg,180A Boon Lay Drive,47.00898373266195,2012,90,318000,1.3476144467016,103.708643452604,22,Boon Lay,1.0483314862732513,Boon   Lay   Shopping   Centre    Singapore ,0.44748376187778216,14.567473368457398,0.55949148538448,0.44748376187778216,40.448482551659616
11,23465597,2 ROOM,https://www.propertyguru.com.sg/listing/hdb-for-sale-809b-choa-chu-kang-avenue-1-23465597,https://sg2-cdn.pgimgs.com/listing/23465597/UPHO.128433847.R400X300/809B-Choa-Chu-Kang-Avenue-1-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,809B Choa Chu Kang Avenue 1,47.28769312238129,2015,93,290000,1.37476188616122,103.744965122728,23,South View,0.616732186736678,Keat   Hong   Shopping   Centre    Singapore ,0.30469841376897105,12.45363186913842,3.5632282743168933,0.30469743582660663,13.127889370918624
12,23468869,2 ROOM,https://www.propertyguru.com.sg/listing/hdb-for-sale-52-lorong-6-toa-payoh-23468869,https://sg1-cdn.pgimgs.com/listing/23468869/UPHO.128409622.R400X300/52-Lorong-6-Toa-Payoh-Balestier-Toa-Payoh-Singapore.jpg,52 Lorong 6 Toa Payoh,40.041248989678465,1966,44,210000,1.33824914332832,103.852481978622,12,Braddell,0.6508981339426729,HDB   Hub   Singapore ,0.9014292640991379,4.321446850078046,0.2576406747261551,0.3373561825715449,102.39858632594151
13,23454724,2 ROOM,https://www.propertyguru.com.sg/listing/hdb-for-sale-52-lorong-6-toa-payoh-23454724,https://sg2-cdn.pgimgs.com/listing/23454724/UPHO.128218385.R400X300/52-Lorong-6-Toa-Payoh-Balestier-Toa-Payoh-Singapore.jpg,52 Lorong 6 Toa Payoh,40.041248989678465,1966,44,210000,1.33824914332832,103.852481978622,12,Braddell,0.6508981339426729,HDB   Hub   Singapore ,0.9014292640991379,4.321446850078046,0.2576406747261551,0.3373561825715449,102.39858632594151
14,23454721,2 ROOM,https://www.propertyguru.com.sg/listing/hdb-for-sale-52-lorong-6-toa-payoh-23454721,https://sg1-cdn.pgimgs.com/listing/23454721/UPHO.128218300.R400X300/52-Lorong-6-Toa-Payoh-Balestier-Toa-Payoh-Singapore.jpg,52 Lorong 6 Toa Payoh,40.041248989678465,1966,44,210000,1.33824914332832,103.852481978622,12,Braddell,0.6508981339426729,HDB   Hub   Singapore ,0.9014292640991379,4.321446850078046,0.2576406747261551,0.3373561825715449,102.39858632594151
15,23454715,2 ROOM,https://www.propertyguru.com.sg/listing/hdb-for-sale-52-lorong-6-toa-payoh-23454715,https://sg1-cdn.pgimgs.com/listing/23454715/UPHO.128218204.R400X300/52-Lorong-6-Toa-Payoh-Balestier-Toa-Payoh-Singapore.jpg,52 Lorong 6 Toa Payoh,40.041248989678465,1966,44,210000,1.33824914332832,103.852481978622,12,Braddell,0.6508981339426729,HDB   Hub   Singapore ,0.9014292640991379,4.321446850078046,0.2576406747261551,0.3373561825715449,102.39858632594151
16,23463699,2 ROOM,https://www.propertyguru.com.sg/listing/hdb-for-sale-508-jurong-west-street-52-23463699,https://sg2-cdn.pgimgs.com/listing/23463699/UPHO.128338699.R400X300/508-Jurong-West-Street-52-Boon-Lay-Jurong-Tuas-Singapore.jpg,508 Jurong West Street 52,91.04506730831763,1984,62,390000,1.34872718063363,103.718715391434,22,Lakeside,0.547579976935787,Boon   Lay   Shopping   Centre    Singapore ,0.7416550584552963,13.55792701470559,0.10602514451952647,0.32229536958042215,193.43356322127448
17,23468576,2 ROOM,https://www.propertyguru.com.sg/listing/hdb-for-sale-528a-pasir-ris-street-51-23468576,https://sg1-cdn.pgimgs.com/listing/23468576/UPHO.128405702.R400X300/528A-Pasir-Ris-Street-51-Pasir-Ris-Tampines-Singapore.jpg,528A Pasir Ris Street 51,47.00898373266195,2012,90,300000,1.37021066906466,103.947986536645,18,Pasir Ris,0.3684480207861673,White   Sands    Singapore ,0.30177203190614615,14.74744413204664,2.7420274777537132,0.058746505528887445,17.199866834095122
18,23375218,2 ROOM,https://www.propertyguru.com.sg/listing/hdb-for-sale-8-jalan-kukoh-23375218,https://sg2-cdn.pgimgs.com/listing/23375218/UPHO.127173273.R400X300/8-Jalan-Kukoh-Alexandra-Commonwealth-Singapore.jpg,8 Jalan Kukoh,53.04768717658098,1970,48,298000,1.2873776268224,103.839407060595,3,Chinatown,0.5636584904793257,People's   Park   Complex    Singapore ,0.5052827684041135,2.092979966971347,0.11152855336675478,0.24378491418124462,204.5997039513016
19,22733425,2 ROOM,https://www.propertyguru.com.sg/listing/hdb-for-sale-547c-segar-road-22733425,https://sg2-cdn.pgimgs.com/listing/22733425/UPHO.119000255.R400X300/547C-Segar-Road-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,547C Segar Road,47.00898373266195,2014,92,280000,1.38853827277488,103.768773256544,23,Segar,0.1297950628225504,Greenridge   Shopping   Centre    Singapore ,0.4487248208251055,11.692837026822124,5.5010542048037,0.09512826042425873,22.561294604589136
