listingID,listingURL,imgURL,ListingName,BuiltYear,RemainingLease,FlatType,FloorArea,Price
22733425,https://www.propertyguru.com.sg/listing/hdb-for-sale-547c-segar-road-22733425,https://sg2-cdn.pgimgs.com/listing/22733425/UPHO.119000255.R400X300/547C-Segar-Road-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,547C Segar Road,2014,92,2 ROOM,47.00898373266195,280000
23467772,https://www.propertyguru.com.sg/listing/hdb-for-sale-26-ghim-moh-link-23467772,https://sg2-cdn.pgimgs.com/listing/23467772/UPHO.128393155.R400X300/26-Ghim-Moh-Link-Tanglin-Holland-Bukit-Timah-Singapore.jpg,26 Ghim Moh Link,2011,89,2 ROOM,46.91608060275551,400000
22221354,https://www.propertyguru.com.sg/listing/hdb-for-sale-79-chay-yan-street-22221354,https://sg1-cdn.pgimgs.com/listing/22221354/UPHO.113482128.R400X300/79-Chay-Yan-Street-Alexandra-Commonwealth-Singapore.jpg,79 Chay Yan Street,1937,15,2 ROOM,97.54828640176888,1388888
23405235,https://www.propertyguru.com.sg/listing/hdb-for-sale-26-ghim-moh-link-23405235,https://sg1-cdn.pgimgs.com/listing/23405235/UPHO.127582738.R400X300/26-Ghim-Moh-Link-Tanglin-Holland-Bukit-Timah-Singapore.jpg,26 Ghim Moh Link,2011,89,2 ROOM,46.91608060275551,358000
23456857,https://www.propertyguru.com.sg/listing/hdb-for-sale-423-clementi-avenue-1-23456857,https://sg2-cdn.pgimgs.com/listing/23456857/UPHO.128248273.R400X300/423-Clementi-Avenue-1-Buona-Vista-West-Coast-Clementi-New-Town-Singapore.jpg,423 Clementi Avenue 1,2011,89,2 ROOM,48.95994946069733,358000
23455549,https://www.propertyguru.com.sg/listing/hdb-for-sale-188-boon-lay-drive-23455549,https://sg2-cdn.pgimgs.com/listing/23455549/UPHO.128229179.R400X300/188-Boon-Lay-Drive-Boon-Lay-Jurong-Tuas-Singapore.jpg,188 Boon Lay Drive,1975,53,2 ROOM,46.91608060275551,250000
23249777,https://www.propertyguru.com.sg/listing/hdb-for-sale-780f-woodlands-crescent-23249777,https://sg2-cdn.pgimgs.com/listing/23249777/UPHO.125614217.R400X300/780F-Woodlands-Crescent-Admiralty-Woodlands-Singapore.jpg,780F Woodlands Crescent,2014,92,2 ROOM,46.91608060275551,310000
23452275,https://www.propertyguru.com.sg/listing/hdb-for-sale-424a-yishun-avenue-11-23452275,https://sg2-cdn.pgimgs.com/listing/23452275/UPHO.128266249.R400X300/424A-Yishun-Avenue-11-Sembawang-Yishun-Singapore.jpg,424A Yishun Avenue 11,2014,92,2 ROOM,47.00898373266195,275000
23456521,https://www.propertyguru.com.sg/listing/hdb-for-sale-371-jurong-east-street-32-23456521,https://sg2-cdn.pgimgs.com/listing/23456521/UPHO.128243229.R400X300/371-Jurong-East-Street-32-Boon-Lay-Jurong-Tuas-Singapore.jpg,371 Jurong East Street 32,2013,91,2 ROOM,43.01414914668475,288000
22514539,https://www.propertyguru.com.sg/listing/hdb-for-sale-48-lower-delta-road-22514539,https://sg1-cdn.pgimgs.com/listing/22514539/UPHO.125138508.R400X300/48-Lower-Delta-Road-Alexandra-Commonwealth-Singapore.jpg,48 Lower Delta Road,1964,42,2 ROOM,45.987049303691045,240000
23437309,https://www.propertyguru.com.sg/listing/hdb-for-sale-256c-sumang-walk-23437309,https://sg2-cdn.pgimgs.com/listing/23437309/UPHO.127987113.R400X300/256C-Sumang-Walk-Hougang-Punggol-Sengkang-Singapore.jpg,256C Sumang Walk,2015,93,2 ROOM,46.91608060275551,310000
23415385,https://www.propertyguru.com.sg/listing/hdb-for-sale-447b-jalan-kayu-23415385,https://sg1-cdn.pgimgs.com/listing/23415385/UPHO.127714284.R400X300/447B-Jalan-Kayu-Seletar-Yio-Chu-Kang-Singapore.jpg,447B Jalan Kayu,2012,90,2 ROOM,46.91608060275551,300000
23408448,https://www.propertyguru.com.sg/listing/hdb-for-sale-423-clementi-avenue-1-23408448,https://sg1-cdn.pgimgs.com/listing/23408448/UPHO.127626190.R400X300/423-Clementi-Avenue-1-Buona-Vista-West-Coast-Clementi-New-Town-Singapore.jpg,423 Clementi Avenue 1,2011,89,2 ROOM,49.98188388966825,348000
23427314,https://www.propertyguru.com.sg/listing/hdb-for-sale-366a-sembawang-crescent-23427314,https://sg1-cdn.pgimgs.com/listing/23427314/UPHO.128396412.R400X300/366A-Sembawang-Crescent-Sembawang-Yishun-Singapore.jpg,366A Sembawang Crescent,2018,96,2 ROOM,47.93801503172642,300000
